[HEADER]
Name:          LSCI_DT-600
SN:             Standard Curve
Format:         2
Limit:          500.
Coeff:          1

[DATA]
# No.   Units      Temperature (K)
  1  9.05392e-02   500.000
  2  .113581       489.500
  3  .145904       475.500
  4  .148390       474.500
  5  .175623       463.000
  6  .260602       427.500
  7  .328250       399.000
  8  .405937       366.000
  9  .493643       328.500
 10  .543502       307.000
 11  .581512       290.500
 12  .616952       275.000
 13  .649841       260.500
 14  .681331       246.500
 15  .711427       233.000
 16  .740137       220.000
 17  .767474       207.500
 18  .792371       196.000
 19  .815947       185.000
 20  .838212       174.500
 21  .859181       164.500
 22  .878870       155.000
 23  .897291       146.000
 24  .914460       137.500
 25  .930396       129.500
 26  .945125       122.000
 27  .959636       114.500
 28  .972960       107.500
 29  .985134       101.000
 30  .994351        96.000
 31  1.00255        91.500
 32  1.01063        87.000
 33  1.01861        82.500
 34  1.02648        78.000
 35  1.03423        73.500
 36  1.04188        69.000
 37  1.04942        64.500
 38  1.05786        59.400
 39  1.06568        54.600
 40  1.07407        49.400
 41  1.08268        44.000
 42  1.08870        40.200
 43  1.09289        37.600
 44  1.09620        35.600
 45  1.09910        33.900
 46  1.10175        32.400
 47  1.10431        31.000
 48  1.10663        29.800
 49  1.10867        28.800
 50  1.11064        27.900
 51  1.11229        27.200
 52  1.11387        26.600
 53  1.11533        26.100
 54  1.11665        25.700
 55  1.11814        25.300
 56  1.11990        24.900
 57  1.12149        24.600
 58  1.12342        24.300
 59  1.12502        24.100
 60  1.12689        23.900
 61  1.12916        23.700
 62  1.13187        23.500
 63  1.13506        23.300
 64  1.14075        23.000
 65  1.16288        22.000
 66  1.17280        21.500
 67  1.18330        20.900
 68  1.19624        20.100
 69  1.20162        19.750
 70  1.21390        18.950
 71  1.23056        17.850
 72  1.24448        16.950
 73  1.25639        16.200
 74  1.26707        15.550
 75  1.27729        14.950
 76  1.28703        14.400
 77  1.29717        13.850
 78  1.30778        13.300
 79  1.31889        12.750
 80  1.32948        12.250
 81  1.34055        11.750
 82  1.35215        11.250
 83  1.36430        10.750
 84  1.37706        10.250
 85  1.39047         9.750
 86  1.40319         9.300
 87  1.41654         8.850
 88  1.43060         8.400
 89  1.44537         7.950
 90  1.46256         7.450
 91  1.48407         6.850
 92  1.52789         5.660
 93  1.55363         4.940
 94  1.56944         4.480
 95  1.58042         4.140
 96  1.58856         3.870
 97  1.59573         3.620
 98  1.60229         3.380
 99  1.60827         3.150
100  1.61520         2.870
101  1.62286         2.550
102  1.62766         2.340
103  1.63153         2.160
104  1.63474         2.000
105  1.63734         1.860
106  1.63956         1.730
107  1.64143         1.610
108  1.64313         1.490
109  1.64430         1.400
