Temperature             Resistance
(Kelvin)                (Ohms)

4.39203450279376E-02   4.97080000000000E+04
4.77489705650056E-02   4.45787000000000E+04
5.16630998500340E-02   3.98500000000000E+04
5.66572750961337E-02   3.49688000000000E+04
6.41049990224232E-02   2.98448000000000E+04
7.39586112177274E-02   2.46884000000000E+04
8.36550216926298E-02   2.00127000000000E+04
9.60553611682222E-02   1.66704000000000E+04
1.11992810528986E-01   1.37176000000000E+04
1.27950947756496E-01   1.17179000000000E+04
1.45992821794918E-01   1.01348000000000E+04
1.61950798445822E-01   9.10970000000000E+03
1.81975953297483E-01   8.09520000000000E+03
2.03971391903645E-01   7.26520000000000E+03
2.30190072951684E-01   6.46780000000000E+03
2.60072857090499E-01   5.79005000000000E+03
2.89973944786273E-01   5.27166000000000E+03
3.09872357471769E-01   4.97467000000000E+03
3.29722974620272E-01   4.73808000000000E+03
3.68166876823850E-01   4.34222000000000E+03
4.17863751102945E-01   3.95071000000000E+03
4.74689117901077E-01   3.60899000000000E+03
5.35817472966891E-01   3.31765000000000E+03
6.09649339111692E-01   3.04633000000000E+03
6.83572508056922E-01   2.83550000000000E+03
7.64449312906534E-01   2.65365000000000E+03
8.55076056894260E-01   2.48990000000000E+03
9.49548928839316E-01   2.35270000000000E+03
1.05068954000135E+00   2.23070000000000E+03
1.15004005905315E+00   2.13346087874578E+03
1.20051359002092E+00   2.08978800001559E+03
1.30429229811568E+00   2.01111037704132E+03
1.40021054363821E+00   1.94796506877749E+03
1.60182159691090E+00   1.83870608525023E+03
1.80124666114569E+00   1.75395342905095E+03
1.99745919874280E+00   1.68661744174572E+03
2.20169485799320E+00   1.62881889738138E+03
2.40062880193364E+00   1.58136694807759E+03
2.59808977837348E+00   1.54103918208850E+03
2.80495535612702E+00   1.50457965472504E+03
3.00326699924423E+00   1.47403483333007E+03
3.19850782210846E+00   1.44761311245643E+03
3.40074668472258E+00   1.42309952815240E+03
3.59978657330289E+00   1.40153764870052E+03
3.80138341835260E+00   1.38198978092177E+03
4.00042786037917E+00   1.36449002003163E+03
4.19528865998526E+00   1.34883006734795E+03
4.60052305979772E+00   1.32026907177052E+03
5.00841102832180E+00   1.29591833269284E+03
5.50033963073363E+00   1.27111996070773E+03
6.32191881998708E+00   1.23799033001132E+03
7.15036212586645E+00   1.21187906210909E+03
8.19539755823963E+00   1.18620430950706E+03
9.24015491741943E+00   1.16606540471669E+03
1.02783361287614E+01   1.14998214156010E+03
1.13067830316113E+01   1.13690043676764E+03
1.23152211310273E+01   1.12602706248205E+03
1.33107378286963E+01   1.11697083777348E+03
1.42891723354650E+01   1.10925360596227E+03
1.52625949561887E+01   1.10256294851970E+03
1.62257341381642E+01   1.09663855245741E+03
1.71815353667392E+01   1.09140603547491E+03
1.81377254941142E+01   1.08675582480044E+03
1.90975742180127E+01   1.08252107357755E+03
2.00610229126687E+01   1.07869227692650E+03
2.11316546072332E+01   1.07479869735051E+03
2.27128924994513E+01   1.06974574439561E+03
2.43009463751410E+01   1.06543273495591E+03
2.58736703860857E+01   1.06150030500354E+03
2.74577400626000E+01   1.05810641079167E+03
2.90514611729763E+01   1.05502998935833E+03
3.08582415945930E+01   1.05193177898830E+03
3.29507859560148E+01   1.04872865075184E+03
3.59460052381156E+01   1.04484676745962E+03
3.89403008295562E+01   1.04144477848428E+03
4.19399669961781E+01   1.03859923968759E+03
4.49386489189425E+01   1.03614887120491E+03
